id,code_diff,gold_review,sys1 review,sys2 review,sys3 review,choice
9024,"@@ -1350,9 +1350,14 @@ class RustGenerator : public BaseGenerator {
         code_ +=
             ""    if self.{{FIELD_TYPE_FIELD_NAME}}_type() == ""
             ""{{U_ELEMENT_ENUM_TYPE}} {"";
-        code_ +=
-            ""      self.{{FIELD_NAME}}().map(|u| ""
-            ""{{U_ELEMENT_TABLE_TYPE}}::init_from_table(u))"";
+        if (!field.required) {
+          code_ +=
+              ""      self.{{FIELD_NAME}}().map(|u| ""
+              ""{{U_ELEMENT_TABLE_TYPE}}::init_from_table(u))"";
+        } else {
+          code_ += ""      let u = self.{{FIELD_NAME}}();"";
+          code_ += ""      Some({{U_ELEMENT_TABLE_TYPE}}::init_from_table(u))"";
+        }
         code_ += ""    } else {"";
         code_ += ""      None"";
         code_ += ""    }"";",Please flip the conditional to be `if (field.required) { ... }`.,Shouldn't this be `if (field.required)`?,Shouldn't this be `u = self.{{FIELD_NAME}}()`?,Shouldn't this be `self.{{FIELD_NAME}}().map(&Some::init_from_table)`?,
4397,"@@ -24,6 +24,10 @@ class PostTest < ActiveSupport::TestCase
     post.must :save
   end
 
+  it ""should sort 'by_unanswered'"" do
+    Post.by_unanswered.must_equal Post.joins(:topic).where(""posts_count = '1'"").order('created_at desc')
+  end
+
   it 'posts should have an associated topic' do
     topic = create(:topic_with_posts)
     topic.posts[0].topic.must_equal topic",Can we create some post records to assert sort_by,Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.,You can use `Post.order('created_at desc')` here.,"I'm not sure if this is the best way to test this, but I'm not sure if there's a better way to test this without using `Post.by_unanswered`",
4703,"@@ -130,9 +130,14 @@ func (c *localCircuitBreaker) checkAndSet() {
 
 // Config represents the configuration of a circuit breaker.
 type Config struct {
+	// The threshold over sliding window that would trip the circuit breaker
 	Threshold float64 `json:""threshold""`
-	Type      string  `json:""type""`
-	TripTime  string  `json:""trip_time""`
+	// Possible values: latency, error_ratio, and status_ratio. It
+	// defaults to latency.
+	Type string `json:""type""`
+	// How long to wait after the circuit is tripped before allowing operations to resume.
+	// The default is 5s.
+	TripTime string `json:""trip_time""`
 }
 
 const (","Thinking on it more, I actually really like your idea to rename `type` to `factor`.",Should this be a `time.Duration`?,`error_ratio` and `status_ratio` don't seem to be used.,"nit: ""over sliding window that would trip the circuit breaker""",
4106,"@@ -353,6 +353,7 @@ void test4() {
   smi = MolToSmiles(*m);
   CHECK_INVARIANT(smi == ""c1cc[cH-]c1"", smi);
   TEST_ASSERT(m->getConformer().is3D() == false);
+  delete m;
 
   BOOST_LOG(rdInfoLog) << "" Finished <---------- "" << std::endl;
 }",We should probably make a unique_ptr<ROMol> typedef in ROMol.h and start using that liberally.,Why not `delete m->getConformer()`?,Why is this needed?,Why do you need to delete the pointer?,
5348,"@@ -130,14 +130,14 @@ func (c *Command) handleActions(line string) {
 
 func (c *Command) connect(argsString string) {
 	if len(argsString) == 0 {
-		info(""Press tab to select identity or create a new one. Connect <your-identity> <node-identity>"")
+		info(""Press tab to select identity or create a new one. Connect <your-id> <provider-id>"")
 		return
 	}
 
 	identities := strings.Fields(argsString)
 
 	if len(identities) != 2 {
-		info(""Please type in the node identity. Connect <your-identity> <node-identity>"")
+		info(""Please type in the provider identity. Connect <your-id> <provider-id>"")
 		return
 	}
 ","Is `<your-id>` really easier to understand than `<your-identity>` for CLI user? For me, `identity` seems like a concept we use publicly, and `id` is just an internal shortcut for it.",I think this should be `<provider-id> <node-id>`,I think this should be `<provider-id>`.,I think this should be `<provider-id> <node-id>`,
6785,"@@ -582,6 +582,7 @@ public class OAuthWebviewHelper implements KeyChainAliasCallback {
                     displayName(accountOptions.displayName).email(accountOptions.email).
                     photoUrl(accountOptions.photoUrl).thumbnailUrl(accountOptions.thumbnailUrl).
                     additionalOauthValues(accountOptions.additionalOauthValues).build();
+            account.downloadProfilePhoto();
             if (id.customAttributes != null) {
                 mgr.getAdminSettingsManager().setPrefs(id.customAttributes, account);
             }",Kick off the download after login.,Why do we need to call `downloadProfilePhoto` here? Shouldn't `photoUrl` be enough?,Why do we need to download the profile photo here?,Shouldn't this be called only if `accountOptions.photoUrl != null`?,
2950,"@@ -386,8 +386,8 @@ func (s *stream) SetDeadline(t time.Time) error {
 }
 
 // CloseRemote makes the stream receive a ""virtual"" FIN stream frame at a given offset
-func (s *stream) CloseRemote(offset protocol.ByteCount) {
-	s.AddStreamFrame(&wire.StreamFrame{FinBit: true, Offset: offset})
+func (s *stream) CloseRemote(offset uint64) {
+	s.AddStreamFrame(&wire.StreamFrame{FinBit: true, Offset: protocol.ByteCount(offset)})
 }
 
 // Cancel is called by session to indicate that an error occurred","The reason a `ByteCount` is used here, is that the H2 mapping in gQUIC requires this layer violation, which is why `CloseRemote` is not part of the public API. This layer violation will be resolved in IETF QUIC",Shouldn't this be `uint64(offset)`?,Why change from `protocol.ByteCount` to `uint64`?,`offset` should be a `uint64` right?,
4038,"@@ -371,10 +371,10 @@ func NewConfig(dc *dynamicconfig.Collection, numberOfShards int, storeType strin
 
 		BlobSizeLimitError:     dc.GetIntPropertyFilteredByNamespace(dynamicconfig.BlobSizeLimitError, 2*1024*1024),
 		BlobSizeLimitWarn:      dc.GetIntPropertyFilteredByNamespace(dynamicconfig.BlobSizeLimitWarn, 512*1024),
-		HistorySizeLimitError:  dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistorySizeLimitError, 200*1024*1024),
-		HistorySizeLimitWarn:   dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistorySizeLimitWarn, 50*1024*1024),
-		HistoryCountLimitError: dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistoryCountLimitError, 200*1024),
-		HistoryCountLimitWarn:  dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistoryCountLimitWarn, 50*1024),
+		HistorySizeLimitError:  dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistorySizeLimitError, 20*1024*1024),
+		HistorySizeLimitWarn:   dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistorySizeLimitWarn, 5*1024*1024),
+		HistoryCountLimitError: dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistoryCountLimitError, 20*1024),
+		HistoryCountLimitWarn:  dc.GetIntPropertyFilteredByNamespace(dynamicconfig.HistoryCountLimitWarn, 5*1024),
 
 		ThrottledLogRPS:   dc.GetIntProperty(dynamicconfig.HistoryThrottledLogRPS, 4),
 		EnableStickyQuery: dc.GetBoolPropertyFnWithNamespaceFilter(dynamicconfig.EnableStickyQuery, true),","change size to 50MB criticial, 10MB warn... change count to 50k critical, 5k warn...",Why are we changing these limits?,Why do we need to change these limits?,Why are we changing these limits?,
6870,"@@ -82,8 +82,8 @@ const (
 	SystemLocalNamespace = ""temporal-system""
 	// SystemNamespaceID is namespace id for all temporal system workflows
 	SystemNamespaceID = ""32049b68-7872-4094-8e63-d0dd59896a83""
-	// SystemNamespaceRetentionDays is retention config for all temporal system workflows
-	SystemNamespaceRetentionDays = time.Hour * 24 * 7
+	// SystemNamespaceRetention is retention config for all temporal system workflows
+	SystemNamespaceRetention = time.Hour * 24 * 7
 )
 
 const (","Wow, did it literally mean the retention days is a huge number?",rename to SystemNamespaceRetentionDays,`SystemNamespaceRetentionDays` -> `SystemNamespaceRetention`,why change this?,
8968,"@@ -77,8 +77,8 @@ public class LocalNewSessionQueuer extends NewSessionQueuer {
   }
 
   @Override
-  public Optional<HttpRequest> remove() {
-    return sessionRequests.poll();
+  public Optional<HttpRequest> remove(RequestId id) {
+    return sessionRequests.poll(id);
   }
 
   @Override",`poll` and `remove` have different meanings.,nit: rename to `poll(RequestId)`?,Shouldn't this be `sessionRequests.remove(id)`?,"nit: `sessionRequests.poll(id, TimeUnit.MILLISECONDS);`",
747,"@@ -729,6 +729,15 @@ func newContextForLongPoll(c *cli.Context) (context.Context, context.CancelFunc)
 	return newContextWithTimeout(c, defaultContextTimeoutForLongPoll)
 }
 
+func newContextForBackground(c *cli.Context) (context.Context, context.CancelFunc) {
+	if c.GlobalIsSet(FlagContextTimeout) {
+		timeout := time.Duration(c.GlobalInt(FlagContextTimeout)) * time.Second
+		return rpc.NewContextWithTimeoutAndCLIHeaders(timeout)
+	}
+
+	return rpc.NewContextWithCLIHeaders()
+}
+
 func newContextWithTimeout(c *cli.Context, timeout time.Duration) (context.Context, context.CancelFunc) {
 	if c.GlobalIsSet(FlagContextTimeout) {
 		timeout = time.Duration(c.GlobalInt(FlagContextTimeout)) * time.Second",Is this getting used in other places? Can we switch all the places to use the new API you added?,`newContextForBackground` is unused (from `deadcode`),`newContextForBackground` is unused (from `deadcode`),`newContextForBackground` is unused (from `deadcode`),
2790,"@@ -0,0 +1,6 @@
+from dagster import job, SourceHashVersionStrategy
+
+
+@job(version_strategy=SourceHashVersionStrategy())
+def the_job():
+    ...",Newline at end of file plz,"This should be `from dagster import job, SourceHashVersionStrategy`",I don't think you need the `...` here.,I think this file should be named `dag_job.py`,
5558,"@@ -6,11 +6,14 @@ from pyramid import httpexceptions
 
 
 class NameGenerator(generators.Generator):
+    regexp = r'^[a-zA-Z0-9][a-zA-Z0-9_-]*$'
+
     def __call__(self):
         ascii_letters = ('abcdefghijklmopqrstuvwxyz'
                          'ABCDEFGHIJKLMOPQRSTUVWXYZ')
-        alphabet = ascii_letters + string.digits + '-'
-        letters = [random.choice(alphabet) for x in range(8)]
+        alphabet = ascii_letters + string.digits + '-_'
+        letters = [random.choice(ascii_letters + string.digits)]
+        letters += [random.choice(alphabet) for x in range(7)]
         return ''.join(letters)
 
 ",So we fix it only for kinto and not for all cliquet resources?,Why is this change necessary?,Shouldn't this be `[a-zA-Z0-9][a-zA-Z0-9_-]`?,I think this should be `re.compile(r'^[a-zA-Z0-9][a-zA-Z0-9_-]*$')`,
244,"@@ -47,6 +47,14 @@ void Engine::SetCallBack(std::function<void(const void *, std::string,
 {
 }
 
+static void engineThrowUp(const std::string &engineType,
+                          const std::string &func)
+{
+    throw std::invalid_argument(
+        ""ERROR: Engine bass class "" + func + ""() called. "" + engineType +
+        "" child class is not implementing this function\n"");
+}
+
 // should these functions throw an exception?
 void Engine::Write(Variable<char> & /*variable*/, const char * /*values*/) {}
 void Engine::Write(Variable<unsigned char> & /*variable*/,",Use `UpperCamelCase` for function names,"`ERROR: Engine bass class "" + func + ""() called. Engine child class is not implementing this function\n""`",`ERROR: Engine bass class ...` -> `ERROR: Engine bass class ...`,"I don't think this is the right place for this function. It should be in the base class, not here.",
1855,"@@ -126,12 +126,14 @@ func (n *NetworkPolicyController) deleteCNP(old interface{}) {
 	n.deleteDereferencedAddressGroups(oldInternalNP)
 }
 
-// reprocessCNP is triggered by Namespace ADD/UPDATE/DELETE events when they impact the
-// per-namespace rules of a CNP.
-func (n *NetworkPolicyController) reprocessCNP(cnp *crdv1alpha1.ClusterNetworkPolicy) {
+// reprocessCNP is triggered when a CNP may be impacted by non-ClusterNetworkPolicy events, including Namespace events
+// (for per-namespace rules) and ClusterGroup events (for ClusterGroup reference).
+func (n *NetworkPolicyController) reprocessCNP(cnp *crdv1alpha1.ClusterNetworkPolicy, enqueueAppliedToGroup bool) {
 	key := internalNetworkPolicyKeyFunc(cnp)
 	n.internalNetworkPolicyMutex.Lock()
 	oldInternalNPObj, exist, _ := n.internalNetworkPolicyStore.Get(key)
+	// The internal NetworkPolicy may haven't been created yet. It's fine to skip processing this CNP as addCNP will
+	// create it eventually.
 	if !exist {
 		klog.V(2).Infof(""Cannot find the original internal NetworkPolicy, skip reprocessCNP"")
 		n.internalNetworkPolicyMutex.Unlock()","Would this be possible: `addCNP` has already processed the CNP to an internalNP, just hasn't added this internalNP to the `internalNetworkPolicyStore`. In this case, `reprocessCNP` will skip processing this CNP and `addCNP` will just add the ""old"" internalNP to `internalNetworkPolicyStore`.","nit: ""may be impacted by ClusterNetworkPolicy events, including Namespace events (for per-namespace rules)""",`enqueueAppliedToGroup` doesn't seem to be used?,"nit: ""may be impacted by non-ClusterNetworkPolicy events, including Namespace events (for per-namespace rules)""",
6340,"@@ -31,6 +31,8 @@ class Section < ActiveRecord::Base
   include ActsAsSortable
   include VersionableModel
 
+  # Sort order: Number ASC
+  default_scope { order(number: :asc) }
 
   # ================
   # = Associations =",  I think this makes a lot of sense but we may want to highlight the change for people doing UAT in case the ordering of sections is off anywhere when customizing or using the drag-drop feature,Prefer double-quoted strings unless you need single quotes to avoid extra backslashes for escaping.,This should be `default_scope { order(number: :desc) }`,Layout/AlignHash: Align the elements of a hash literal if they span more than one line.,
8190,"@@ -28,14 +28,14 @@ static void atomic_begin(struct wlr_drm_crtc *crtc, struct atomic *atom) {
 	atom->failed = false;
 }
 
-static bool atomic_end(int drm_fd, struct atomic *atom) {
+static bool atomic_end(int drm_fd, uint32_t flags, struct atomic *atom) {
 	if (atom->failed) {
 		return false;
 	}
 
-	uint32_t flags = DRM_MODE_ATOMIC_TEST_ONLY | DRM_MODE_ATOMIC_NONBLOCK;
+	flags |= DRM_MODE_ATOMIC_TEST_ONLY;
 	if (drmModeAtomicCommit(drm_fd, atom->req, flags, NULL)) {
-		wlr_log_errno(WLR_ERROR, ""Atomic test failed"");
+		wlr_log_errno(WLR_DEBUG, ""Atomic test failed"");
 		drmModeAtomicSetCursor(atom->req, atom->cursor);
 		return false;
 	}",I don't think it makes sense to have both `TEST_ONLY` and `NONBLOCK`. We should probably leave `NONBLOCK` out.,Should this be `flags |= DRM_MODE_ATOMIC_NONBLOCK`?,(style) line over 80 characters,(style) line over 80 characters,
3984,"@@ -393,7 +393,7 @@ func init() {
 	proto.RegisterType((*StatusResponse)(nil), ""bpfki.StatusResponse"")
 }
 
-func init() { proto.RegisterFile(""bpfki.proto"", fileDescriptor_62eed357eb71de0e) }
+func init() { protoregistry.GlobalFiles.RegisterFile(""bpfki.proto"", fileDescriptor_62eed357eb71de0e) }
 
 var fileDescriptor_62eed357eb71de0e = []byte{
 	// 518 bytes of a gzipped FileDescriptorProto",Code generated by protoc-gen-go. **DO NOT EDIT.**. The correct way to fix `deprecated` in this file may be updating the protoc / protobuf / grpc and regenerate this file.,"Shouldn't this be `protoregistry.GlobalFiles.RegisterType(&StatusResponse{}, ""bpfki.StatusResponse"")`?","Shouldn't this be `protoregistry.GlobalFiles.RegisterFile(""bpfki.proto"")`?","I think this should be `protoregistry.GlobalFiles.RegisterType(""bpfki.proto"", ""bpfki"")`",
5543,"@@ -68,7 +68,11 @@ export function createVNode(type, props, key, ref) {
 		_parent: null,
 		_depth: 0,
 		_dom: null,
-		_lastDomChild: null,
+		// _lastDomChildSibling must be initialized to undefined b/c it will eventually
+		// be set to dom.nextSibling which can return `null` and it is important
+		// to be able to distinguish between an uninitialized _lastDomChildSibling and
+		// a _lastDomChildSibling that has been set to `null`
+		_lastDomChildSibling: undefined,
 		_component: null,
 		constructor: undefined
 	};",Thinking out loud... would `_nextDom` be a better name for this?,"I don't think we need to initialize it to `null` here, we can just use `dom.lastChild`",`_lastDomChildSibling` must be initialized to `null` in order to distinguish between an uninitialized _lastDomChildSibling and,"Shouldn't this be `_lastDomChildSibling: null,`?",
2902,"@@ -82,6 +82,10 @@ const (
 	// feature is supported on the server. If any non-empty value is set,
 	// this indicates true.
 	BothResponseErrorHeader = ""Rpc-Both-Response-Error""
+
+	// Echo ServiceHeader in Request header which can be used by clients/HC to
+	// validate request went to the correct service
+	RespondServiceHeader = ""Rpc-Respond-Service-Header""
 )
 
 // Valid values for the Rpc-Status header.","Similar to my suggestion for HTTP, let's remove this and use `ServiceHeader` instead.",Should this be `Rpc-Respond-Request-Header`?,nit: `RespondServiceHeader` => `Rpc-Respond-Service-Header`,Should this be `Rpc-Respond-Request-Header`?,
3585,"@@ -0,0 +1,15 @@
+package com.fsck.k9.service;
+
+
+import java.io.File;
+import java.io.IOException;
+
+import android.net.Uri;
+
+
+public interface FileProviderInterface {
+
+    File createProvidedFile() throws IOException;
+    Uri getUriForProvidedFile(File file, String mimeType) throws IOException;
+
+}",Same here. Feels like the wrong location.,Please add a license header to all new files.,I don't think this interface belongs in the `com.fsck.k9.service` package. It should be in the `com.fsck.k8s` package.,`FileProvider` -> `ProvidedFileProvider`,
1385,"@@ -309,3 +309,13 @@ class Foo:
 
     def method(self):
         print(self.__class__.__ham)
+
+
+class TypeSelfCallInMethod:
+    """"""Regression test for issue 5569""""""
+    @classmethod
+    def b(cls) -> None:
+        cls.__a = ''  # [unused-private-member]
+
+    def a(self):
+        return type(self).__a",Unrelated but shouldn't this raise `attribute-defined-outside-init`?,I think it would be better to use `self.__class__.__a` instead of `cls.__a`.,I think it would be better to use `@classmethod` instead of `classmethod` here.,I don't think you need the `[unused-private-member]` here.,
6770,"@@ -24,8 +24,9 @@ import (
 const (
 	userAgentHeader = ""User-Agent""
 
-	credsTimeout  = 10 * time.Second
-	clientTimeout = 30 * time.Second
+	maxRetriesOnRecoverableFailures = 8 // Default provided by SDK is 3 which means requests are retried up to only 2 seconds.
+	credsTimeout                    = 10 * time.Second
+	clientTimeout                   = 30 * time.Second
 )
 
 // Provider provides methods to create sessions.",Hmm why do we need to make this change? Like which one requires this change?,Can we make this a `const` at the top of the file?,I don't think we should set this to `8`. I think we should set it to `3` by default.,Nit: Can we call this `maxRetriesOnRecoverableFailureInterval` for clarity?,
9242,"@@ -15,11 +15,14 @@ import android.net.Uri;
 import android.provider.MediaStore;
 import android.speech.RecognizerIntent;
 import android.support.annotation.NonNull;
+import android.support.design.widget.Snackbar;
 import android.util.Base64;
 import android.view.View;
 import android.webkit.MimeTypeMap;
+import android.widget.Toast;
 
 import org.fossasia.phimpme.R;
+import org.fossasia.phimpme.accounts.AccountActivity;
 import org.fossasia.phimpme.data.local.AccountDatabase;
 
 import java.io.ByteArrayOutputStream;",I think this import will be unused now. If it is unused remove it.,`Snackbar` is not used in this class.,Shouldn't this be `android.widget.Toast`?,This import is unused.,
9270,"@@ -268,7 +268,7 @@ class StubsGenerator
     /**
      * @return PhpParser\Node\Identifier|PhpParser\Node\Name|PhpParser\Node\NullableType|null
      */
-    public static function getParserTypeFromPsalmType(Type\Union $type)
+    public static function getParserTypeFromPsalmType(Type\Union $type): ?PhpParser\NodeAbstract
     {
         $nullable = $type->isNullable();
 ",I must have forgotten that one in previous PR,The return type should be `?PhpParser\NodeAbstract|null`,The return type is `?PhpParser\NodeAbstract`,`getParserTypeFromPsalmType` should return `?PhpParser\NodeAbstract`,
3088,"@@ -67,9 +67,9 @@ namespace pwiz.Skyline.Model.Results
                 var newTimeIntensities = GetTimeIntensities(Source);
                 if (newTimeIntensities != null)
                 {
-                    if (oldTimeIntensities != null)
+                    if (oldTimeIntensities != null && oldTimeIntensities.NumPoints > 0)
                     {
-                        var oldTime = oldTimeIntensities.Times[ScanIndex];
+                        var oldTime = oldTimeIntensities.Times[Math.Min(ScanIndex, oldTimeIntensities.NumPoints - 1)];
                         ScanIndex = newTimeIntensities.IndexOfNearestTime(oldTime);
                     }
                     else",Not sure what this is. Bad merge?,"`Math.Min(ScanIndex, oldTimeIntensities.NumPoints - 1)` -> `Math.Min(ScanIndex, oldTimeIntensities.Times.Length)`",">oldTimeIntensities.Times[Math.Min(ScanIndex, oldTimeIntensities.NumPoints - 1)]; [](start = 52, length = 45) can oldTimeIntensities.Times be null?","`Math.Min(ScanIndex, oldTimeIntensities.NumPoints - 1)` -> `Math.Min(ScanIndex, oldTimeIntensities.NumPoints - 1)`",
9737,"@@ -32,6 +32,12 @@ func (ih *IntermediateHashes) WillUnloadBranchNode(prefixAsNibbles []byte, nodeH
 	if len(prefixAsNibbles) == 0 || len(prefixAsNibbles)%2 == 1 {
 		return
 	}
+
+	// special case. Store Account.Root for long time
+	if len(prefixAsNibbles) == common.HashLength*2 {
+		return
+	}
+
 	InsertCounter.Inc(1)
 
 	buf := pool.GetBuffer(keyBufferSize)",Should it not be `common.HashLength*2 + common.IncarnationLength` ?,Why do we need to store Account.Root here?,Why do we need this special case?,`len(prefixAsNibbles) == common.HashLength*2`,
2315,"@@ -410,7 +410,7 @@ public class MultiPhraseQuery extends Query {
    * <p>
    * Note: positions are merged during freq()
    */
-  static class UnionPostingsEnum extends PostingsEnum {
+  public static class UnionPostingsEnum extends PostingsEnum {
     /** queue ordered by docid */
     final DocsQueue docsQueue;
     /** cost of this enum: sum of its subs */",This is used in o.a.l.sandbox.search.PhraseWildcardQuery.,why is this public?,Why do we need to make this `public`?,why making this public?,
