index,code_change,review,relevance,informativeness,correctness
4694,"@@ -79,6 +79,7 @@ function Sparkline( {
 	return (
 		<div className=""googlesitekit-analytics-sparkline-chart-wrap"">
 			<GoogleChart
+				chartType=""line""
 				data={ data }
 				options={ chartOptions }
 				// eslint-disable-next-line sitekit/camelcase-acronyms",This is a new function that is not used anywhere in the codebase. It seems like it's not being used anywhere in the codebase. It's a good idea to remove it if it's not being used.,,,
4674,"@@ -4199,7 +4199,15 @@ void EntityList::QuestJournalledSayClose(Mob *sender, float dist, const char *mo
 	buf.WriteInt32(0); // location, client doesn't seem to do anything with this
 	buf.WriteInt32(0);
 	buf.WriteInt32(0);
-	buf.WriteString(message);
+
+	// auto inject saylinks (say)
+	if (RuleB(Chat, AutoInjectSaylinksToSay)) {
+		std::string new_message = EQ::SayLinkEngine::InjectSaylinksIfNotExist(message);
+		buf.WriteString(new_message.c_str());
+	}
+	else {
+		buf.WriteString(message);
+	}
 
 	auto outapp = new EQApplicationPacket(OP_SpecialMesg, buf);
 ",`c_str()` is not needed.,,,
6958,"@@ -1,8 +1,14 @@
 import { translationMacro as t } from 'ember-i18n';
 import AbstractIndexRoute from 'hospitalrun/routes/abstract-index-route';
+import Ember from 'ember';
+
+const { computed } = Ember;
+
 export default AbstractIndexRoute.extend({
   modelName: 'imaging',
-  pageTitle: t('imaging.pageTitle'),
+  pageTitle: computed('i18n', () => {
+    return t('imaging.pageTitle');
+  }),
   searchStatus: 'Requested',
 
   _getStartKeyFromItem(item) {",I don't think we need the `htmlFor` here.,,,
3058,"@@ -39,6 +39,7 @@ public class ScriptDTO {
     private final Boolean free;
     private final Boolean requiresPatch;
     private final String script;
+    private final URI icon;
 
     private ScriptDTO(Builder builder) {
         this.scriptName = builder.scriptName;",I think this is a bit confusing.,,,
6222,"@@ -200,11 +200,11 @@ class Field implements Translatable
     }
 
     /**
-     * @return string|Markup
+     * @return string|array|Markup
      */
     public function getTwigValue()
     {
-        $value = $this->__toString();
+        $value = $this->getFlattenedValue();
 
         if ($this->getDefinition()->get('allow_html')) {
             $value = new Markup($value, 'UTF-8');",I think this is a bit confusing.,,,
3859,"@@ -44,8 +44,11 @@ namespace OpenTelemetry.Metrics
 
             var options = new InMemoryExporterOptions();
             configure?.Invoke(options);
-            var exporter = new InMemoryMetricExporter(exportedItems, options);
-            return builder.AddMetricReader(new PeriodicExportingMetricReader(exporter, options.MetricExportIntervalMilliseconds));
+
+            // var exporter = new InMemoryMetricExporter(exportedItems, options);
+            // return builder.AddMetricReader(new PeriodicExportingMetricReader(exporter, options.MetricExportIntervalMilliseconds));
+
+            return builder;
         }
     }
 }",I think this should be `ax3.set_xlabel('x split')`,,,
6155,"@@ -92,7 +92,7 @@ namespace System.Diagnostics.Metrics
             T delta,
             params KeyValuePair<string, object?>[] tags)
         {
-            this.RecordMeasurement(delta, tags);
+            this.RecordMeasurement(delta, new ReadOnlySpan<KeyValuePair<string, object?>>(tags));
         }
     }
 }","Shouldn't this be `self.size, self.location`?",,,
9348,"@@ -17,6 +17,7 @@ package main
 import (
 	. ""github.com/onsi/ginkgo""
 	. ""github.com/onsi/gomega""
+
 	""github.com/projectcalico/felix/k8sfv/leastsquares""
 )
 ","No issue here, but what tool are you running to put these imports into the preferred organization? I have configuration to run `goimports` whenever I save a file, but it appears that that is not quite sufficient.",,,
1220,"@@ -0,0 +1,19 @@
+// Licensed to the .NET Foundation under one or more agreements.
+// The .NET Foundation licenses this file to you under the MIT license.
+// See the LICENSE file in the project root for more information.
+
+using BenchmarkDotNet.Attributes;
+using MicroBenchmarks;
+
+namespace System.Net.Tests
+{
+    [BenchmarkCategory(Categories.CoreFX)]
+    public class DnsTests
+    {
+        [Benchmark]
+        public IPHostEntry GetHostEntry() => Dns.GetHostEntry(""34.206.253.53"");
+
+        [Benchmark]
+        public string GetHostName() => Dns.GetHostName();
+    }
+}","This is a bit odd, but I think it would be better to have a `@Nullable` to `null` and `null` and `null` is not supported in the `<%=false`",,,
8736,"@@ -43,7 +43,12 @@ module Selenium
       def text
         @bridge.getAlertText
       end
+      
+      def authenticate(username, password)
+        @bridge.setAuthentication username: username, password: password
+        accept
+      end
 
     end # Alert
   end # WebDriver
-end # Selenium
+end # Selenium",I don't think you need the `self.send` here.,,,
4347,"@@ -0,0 +1,7 @@
+﻿namespace Nethermind.Core2
+{
+    public static class SszLimit
+    {
+        public const ulong ValidatorRegistryLimit = 1_099_511_627_776;
+    }
+}",Looks like this is a change introduced in different PR,,,
4347,"@@ -0,0 +1,7 @@
+﻿namespace Nethermind.Core2
+{
+    public static class SszLimit
+    {
+        public const ulong ValidatorRegistryLimit = 1_099_511_627_776;
+    }
+}",is it a result of some multiplication or some other meaningful number? would be nice to display as a power of something or the mult,,,
330,"@@ -23,6 +23,6 @@ class Api::V1::ExercisesController < ApiController
   end
 
   def exercise_parameters
-    params.require(:exercise).permit(:edit_url, :summary, :title, :url)
+    params.require(:exercise).permit(:edit_url, :summary, :name, :url)
   end
 end",This will need to be updated in the upcase-exercises repo as well.,,,
6643,"@@ -59,7 +59,9 @@ class ClusterParamsTest(TestCaseBase):
       self.assertGreaterEqual(encodersDict['c1']['resolution'], 0.001,
                               ""Resolution is too low"")
 
-
+    # Ensure incorrect tmImplementation throws exception
+    with self.assertRaises(ValueError):
+        getScalarMetricWithTimeOfDayAnomalyParams([0], tmImplementation="""")
 
 if __name__ == '__main__':
   unittest.main()",You should also have a test that calls it with tm_cpp and make sure it returns the correct JSON file.,,,
2816,"@@ -6316,7 +6316,8 @@ Lng32 SQL_EXEC_DeleteHbaseJNI()
       threadContext->incrNumOfCliCalls();
 
       HBaseClient_JNI::deleteInstance();
-      HiveClient_JNI::deleteInstance();
+      // The Hive client persists across connections
+      // HiveClient_JNI::deleteInstance();
    }
    catch(...)
    {",Why do we need to set the metrics provider here?,,,
9541,"@@ -24,7 +24,7 @@ namespace OpenTelemetry.Trace
     /// <summary>
     /// Build TracerProvider with Resource, Sampler, Processors and Instrumentation.
     /// </summary>
-    internal class TracerProviderBuilderSdk : TracerProviderBuilder
+    public class TracerProviderBuilderSdk : TracerProviderBuilder
     {
         private readonly List<InstrumentationFactory> instrumentationFactories = new List<InstrumentationFactory>();
         private readonly List<BaseProcessor<Activity>> processors = new List<BaseProcessor<Activity>>();",Shouldn't this be `NamedList<?>`?,,,
3859,"@@ -44,8 +44,11 @@ namespace OpenTelemetry.Metrics
 
             var options = new InMemoryExporterOptions();
             configure?.Invoke(options);
-            var exporter = new InMemoryMetricExporter(exportedItems, options);
-            return builder.AddMetricReader(new PeriodicExportingMetricReader(exporter, options.MetricExportIntervalMilliseconds));
+
+            // var exporter = new InMemoryMetricExporter(exportedItems, options);
+            // return builder.AddMetricReader(new PeriodicExportingMetricReader(exporter, options.MetricExportIntervalMilliseconds));
+
+            return builder;
         }
     }
 }",This is a bit more readable.,,,
7917,"@@ -26,7 +26,7 @@
 
 #ifdef HAVE_CONFIG_H
 #include <config.h>
-#endif // HAVE_CONFIG_H
+#endif // HAVE_CONFIG_Hrm
 
 #include <glob.h>
 #include <stdio.h>","Not sure if we want to use the word ""Local"" in this volume name.",,,
5282,"@@ -284,7 +284,6 @@ function getDefaultService() {
 Options.prototype.CAPABILITY_KEY = 'goog:chromeOptions'
 Options.prototype.BROWSER_NAME_VALUE = Browser.CHROME
 Driver.getDefaultService = getDefaultService
-Driver.prototype.VENDOR_COMMAND_PREFIX = 'goog'
 
 // PUBLIC API
 exports.Driver = Driver",is this necessary? why not just `url = $sce.valueOf(origUrl);`,,,
6985,"@@ -11,7 +11,7 @@ use Shopsys\FrameworkBundle\Component\Router\Security\RouteCsrfProtector;
 use Symfony\Component\HttpFoundation\Request;
 use Symfony\Component\HttpFoundation\RequestStack;
 use Symfony\Component\Routing\Router;
-use Twig_Environment;
+use Twig\Environment;
 
 class GridTest extends TestCase
 {","This is a bit weird, but I think we should be able to use `size` here.",,,
6958,"@@ -1,8 +1,14 @@
 import { translationMacro as t } from 'ember-i18n';
 import AbstractIndexRoute from 'hospitalrun/routes/abstract-index-route';
+import Ember from 'ember';
+
+const { computed } = Ember;
+
 export default AbstractIndexRoute.extend({
   modelName: 'imaging',
-  pageTitle: t('imaging.pageTitle'),
+  pageTitle: computed('i18n', () => {
+    return t('imaging.pageTitle');
+  }),
   searchStatus: 'Requested',
 
   _getStartKeyFromItem(item) {",This should be `computed('i18n.locale'....`,,,
6985,"@@ -11,7 +11,7 @@ use Shopsys\FrameworkBundle\Component\Router\Security\RouteCsrfProtector;
 use Symfony\Component\HttpFoundation\Request;
 use Symfony\Component\HttpFoundation\RequestStack;
 use Symfony\Component\Routing\Router;
-use Twig_Environment;
+use Twig\Environment;
 
 class GridTest extends TestCase
 {","EINVAL is a generic error code, it's not a specific error for invalid argument. It's better to use a more specific error code like EINVAL or EINVAL for invalid argument.",,,
2084,"@@ -43,13 +43,16 @@ import { isZeroReport } from '../../modules/search-console/util/is-zero-report';
 import sumObjectListValue from '../../util/sum-object-list-value';
 const { useSelect } = Data;
 
+// reportArgs is declared in this higher scope so that it can be used by hasData.
+let reportArgs;
+
 const AdminBarClicks = ( { className } ) => {
 	const url = useSelect( ( select ) => select( CORE_SITE ).getCurrentEntityURL() );
 	const { compareStartDate, endDate } = useSelect( ( select ) => select( CORE_USER ).getDateRangeDates( {
 		compare: true,
 		offsetDays: DATE_RANGE_OFFSET,
 	} ) );
-	const reportArgs = {
+	reportArgs = {
 		startDate: compareStartDate,
 		endDate,
 		dimensions: 'date',","The code is already using a Queue, so there's no need to change it.

The code is using a LinkedList, which is a doubly-linked list, and a Queue, which is a collection of elements that are inserted and removed according to the first-in-first-out (FIFO) principle.
The LinkedList is a good choice when you need to add or remove elements from the middle of the list, and the Queue is a good choice when you need to add or remove elements from the end of the list.
In this case, the code is using a LinkedList to store the nodes, and a Queue to process the nodes. This is a good choice because the nodes are added to the end of the list and removed from the beginning of the list, which is the standard behavior for a Queue.
So, there's no need to change the code.",,,
920,"@@ -1,7 +1,7 @@
 C2::Application.configure do
   config.action_mailer.preview_path = ""#{Rails.root}/lib/mail_previews""
   config.action_mailer.register_preview_interceptor :css_inline_styler
-  config.action_mailer.asset_host = ""http://localhost:5000""
+  config.action_mailer.asset_host = ""http://2c429f18.ngrok.io"" || ""http://localhost:5000""
   config.action_controller.perform_caching = false
   config.action_mailer.delivery_method = :letter_opener_web
   config.active_record.migration_error = :page_load",This is a good idea to convert the gas price to IOTX unit. It will make the output more readable and understandable.,,,
3575,"@@ -22,6 +22,7 @@ from libcodechecker.logger import add_verbose_arguments
 from libcodechecker.logger import LoggerFactory
 
 LOG = LoggerFactory.get_new_logger('ANALYZE')
+CTU_FUNC_MAP_CMD = 'clang-func-mapping'
 
 
 class OrderedCheckersAction(argparse.Action):",nit: `platformPkgManagerTuple` -> `platformPkgManager`,,,
937,"@@ -0,0 +1,17 @@
+#include <iostream>
+#include <conio.h>
+using namespace std;
+
+int main()
+{	
+	int year;
+	cout<<""Enter year to check\n"";
+	cin>>year;
+	if((year%4==0 && year%100!=0) || year%400==0){
+		cout<<""leap year.\n"";
+	}
+	else{
+		cout<<"" Not leap year.\n"";
+	}
+	return 0;
+}",use function to check it. - don't do everything in main,,,
7760,"@@ -112,6 +112,7 @@ function TransactionBuilder(opts) {
   if (opts.fee || opts.feeSat) {
     this.givenFeeSat = opts.fee ? opts.fee * util.COIN : opts.feeSat;
   }
+  if (opts.fee == 0 || opts.feeSat == 0) this.givenFeeSat = 0;
   this.remainderOut = opts.remainderOut;
   this.signhash = opts.signhash || Transaction.SIGHASH_ALL;
 ",Always use 2 spaces for indentation (fix the other files too). Also each file should end with exactly one blank line.,,,
920,"@@ -1,7 +1,7 @@
 C2::Application.configure do
   config.action_mailer.preview_path = ""#{Rails.root}/lib/mail_previews""
   config.action_mailer.register_preview_interceptor :css_inline_styler
-  config.action_mailer.asset_host = ""http://localhost:5000""
+  config.action_mailer.asset_host = ""http://2c429f18.ngrok.io"" || ""http://localhost:5000""
   config.action_controller.perform_caching = false
   config.action_mailer.delivery_method = :letter_opener_web
   config.active_record.migration_error = :page_load",why do we need to convert it to string?,,,
7165,"@@ -929,3 +929,17 @@ void wlr_surface_send_leave(struct wlr_surface *surface,
 		}
 	}
 }
+
+static inline int64_t timespec_to_msec(const struct timespec *a) {
+	return (int64_t)a->tv_sec * 1000 + a->tv_nsec / 1000000;
+}
+
+void wlr_surface_send_frame_done(struct wlr_surface *surface,
+		const struct timespec *when) {
+	struct wlr_frame_callback *cb, *cnext;
+	wl_list_for_each_safe(cb, cnext, &surface->current->frame_callback_list,
+			link) {
+		wl_callback_send_done(cb->resource, timespec_to_msec(when));
+		wl_resource_destroy(cb->resource);
+	}
+}","Makes sense, due to the added the conflicts. But shouldn't this be `when='@9.0:+adol-c+trilinos'`? Also, could we please put this further down the list (~line 199 with the other trilinos depends)? That way this list remains (nearly) alphabetically ordered.",,,
988,"@@ -3277,7 +3277,7 @@ bool CoreChecks::PreCallValidateGetQueryPoolResults(VkDevice device, VkQueryPool
                                                     VkQueryResultFlags flags) const {
     if (disabled.query_validation) return false;
     bool skip = false;
-    skip |= ValidateQueryPoolStride(""VUID-vkGetQueryPoolResults-flags-00814"", ""VUID-vkGetQueryPoolResults-flags-00815"", stride,
+    skip |= ValidateQueryPoolStride(""VUID-vkGetQueryPoolResults-flags-02827"", ""VUID-vkGetQueryPoolResults-flags-00815"", stride,
                                     ""dataSize"", dataSize, flags);
     skip |= ValidateGetQueryPoolResultsFlags(queryPool, flags);
     skip |= ValidateGetQueryPoolResultsQueries(queryPool, firstQuery, queryCount);",is a public setter useful? Maybe if this bound?,,,
2725,"@@ -18,8 +18,8 @@ using System;
 using System.Diagnostics;
 using System.Security;
 using OpenTelemetry.Exporter.OpenTelemetryProtocol.Implementation;
-using OpenTelemetry.Trace;
 using OpenTelemetry.Metrics;
+using OpenTelemetry.Trace;
 
 namespace OpenTelemetry.Exporter
 {",$this->warehouse_id = -1 is surely a bug. == ?,,,
7165,"@@ -929,3 +929,17 @@ void wlr_surface_send_leave(struct wlr_surface *surface,
 		}
 	}
 }
+
+static inline int64_t timespec_to_msec(const struct timespec *a) {
+	return (int64_t)a->tv_sec * 1000 + a->tv_nsec / 1000000;
+}
+
+void wlr_surface_send_frame_done(struct wlr_surface *surface,
+		const struct timespec *when) {
+	struct wlr_frame_callback *cb, *cnext;
+	wl_list_for_each_safe(cb, cnext, &surface->current->frame_callback_list,
+			link) {
+		wl_callback_send_done(cb->resource, timespec_to_msec(when));
+		wl_resource_destroy(cb->resource);
+	}
+}",I think this is a bit confusing.,,,
2816,"@@ -6316,7 +6316,8 @@ Lng32 SQL_EXEC_DeleteHbaseJNI()
       threadContext->incrNumOfCliCalls();
 
       HBaseClient_JNI::deleteInstance();
-      HiveClient_JNI::deleteInstance();
+      // The Hive client persists across connections
+      // HiveClient_JNI::deleteInstance();
    }
    catch(...)
    {",please do `from letsencrypt import configuration`,,,
6046,"@@ -6,6 +6,17 @@
 
 C015_queue_element::C015_queue_element() {}
 
+C015_queue_element::C015_queue_element(C015_queue_element&& other)
+  : idx(other.idx), _timestamp(other._timestamp), TaskIndex(other.TaskIndex)
+  , controller_idx(other.controller_idx), valuesSent(other.valuesSent)
+  , valueCount(other.valueCount)
+{
+  for (byte i = 0; i < VARS_PER_TASK; ++i) {
+    txt[i]  = std::move(other.txt[i]);
+    vPin[i] = other.vPin[i];
+  }
+}
+
 C015_queue_element::C015_queue_element(const struct EventStruct *event, byte value_count) :
   idx(event->idx),
   TaskIndex(event->TaskIndex),","ref. above, this also can be omitted in case `txt = std::move(other.txt);` could work (or copy), consider `std::array<String, VARS_PER_TASK>;`? or a custom object implementing `Object& operator=(Object&&) noexcept;'",,,
6458,"@@ -160,8 +160,8 @@ define(['playbackManager', 'nowPlayingHelper', 'events', 'connectionManager'], f
 
         if (navigator.mediaSession) {
             navigator.mediaSession.metadata = new MediaMetadata({
-                title: title,
-                artist: artist,
+                title: artist,
+                artist: title,
                 album: album,
                 artwork: getImageUrls(item),
                 albumArtist: albumArtist,",Why do we need this?,,,
6985,"@@ -11,7 +11,7 @@ use Shopsys\FrameworkBundle\Component\Router\Security\RouteCsrfProtector;
 use Symfony\Component\HttpFoundation\Request;
 use Symfony\Component\HttpFoundation\RequestStack;
 use Symfony\Component\Routing\Router;
-use Twig_Environment;
+use Twig\Environment;
 
 class GridTest extends TestCase
 {","I still see some usages of not namespaced variants (look for Twig_ in project, about 42 matches). Is it intentional?",,,
7858,"@@ -235,11 +235,16 @@ echo ""echo '{export_forseti_vars}' >> /etc/profile.d/forseti_environment.sh"" | s
 gsutil cp gs://{scanner_bucket}/configs/forseti_conf_server.yaml {forseti_server_conf}
 gsutil cp -r gs://{scanner_bucket}/rules {forseti_home}/
 
+# Download the Newest Config Validator constraints from GCS
+rm -rf /home/ubuntu/config_validator_constraints
+gsutil cp -r gs://{scanner_bucket}/config_validator_constraints /home/ubuntu/
+
 # Start Forseti service depends on vars defined above.
 bash ./install/gcp/scripts/initialize_forseti_services.sh
 
 echo ""Starting services.""
 systemctl start cloudsqlproxy
+systemctl start config-validator
 sleep 5
 
 echo ""Attempting to update database schema, if necessary.""",Will this always be started up as default? Is there any impact to the VM in terms of load and memory usage?,,,
675,"@@ -106,7 +106,10 @@ def dummy_cert(privkey, cacert, commonname, sans, organization):
     cert.gmtime_adj_notBefore(-3600 * 48)
     cert.gmtime_adj_notAfter(DEFAULT_EXP_DUMMY_CERT)
     cert.set_issuer(cacert.get_subject())
-    if commonname is not None and len(commonname) < 64:
+    is_valid_commonname = (
+        commonname is not None and len(commonname) < 64
+    )
+    if is_valid_commonname:
         cert.get_subject().CN = commonname
     if organization is not None:
         cert.get_subject().O = organization",Shouldn't this be `!item.getType().isRepeated()`?,,,
1440,"@@ -12,6 +12,7 @@ import java.nio.charset.Charset;
 import java.security.MessageDigest;
 
 public class FastBlurTransformation extends BitmapTransformation {
+    private static final String ID=""de.danoeh.antennapod.core.glide.FastBlurTransformation"";
 
     private static final String TAG = FastBlurTransformation.class.getSimpleName();
 ","This method is in beta and may change in future versions. It's good to be aware of this.

The method is not implemented for node.js. It's good to be aware of this.
The method is not implemented for node.js.",,,
5358,"@@ -95,6 +95,10 @@ func (a *FakeWebAPI) RegisterPiped(ctx context.Context, req *webservice.Register
 	}, nil
 }
 
+func (a *FakeWebAPI) EnablePiped(ctx context.Context, req *webservice.EnablePipedRequest) (*webservice.EnablePipedResponse, error) {
+	return nil, status.Error(codes.Unimplemented, """")
+}
+
 func (a *FakeWebAPI) DisablePiped(ctx context.Context, req *webservice.DisablePipedRequest) (*webservice.DisablePipedResponse, error) {
 	return nil, status.Error(codes.Unimplemented, """")
 }",This is a good idea to remove the plugin from our internal container. It's a good practice to keep the internal state of the class in sync with the actual state of the system.,,,
3752,"@@ -70,6 +70,9 @@ import org.apache.solr.core.CoreContainer;
 import org.apache.solr.handler.admin.CollectionsHandler;
 import org.apache.solr.handler.component.HttpShardHandler;
 import org.apache.solr.logging.MDCLoggingContext;
+import org.apache.solr.store.blob.process.BlobDeleteManager;
+import org.apache.solr.store.blob.process.BlobDeleteProcessor;
+import org.apache.solr.store.shared.SharedStoreManager;
 import org.apache.solr.store.shared.metadata.SharedShardMetadataController;
 import org.apache.solr.update.UpdateShardHandler;
 import org.apache.zookeeper.CreateMode;",Please migrate this equals() to use `Objects.equals()`,,,
9410,"@@ -25,8 +25,8 @@ func NewConfig(options *compileopts.Options) (*compileopts.Config, error) {
 	if err != nil {
 		return nil, fmt.Errorf(""could not read version from GOROOT (%v): %v"", goroot, err)
 	}
-	if major != 1 || minor < 11 || minor > 14 {
-		return nil, fmt.Errorf(""requires go version 1.11, 1.12, 1.13, or 1.14, got go%d.%d"", major, minor)
+	if major != 1 || minor < 11 || minor > 15 {
+		return nil, fmt.Errorf(""requires go version 1.11, 1.12, 1.13, 1.14, or 1.15, got go%d.%d"", major, minor)
 	}
 	clangHeaderPath := getClangHeaderPath(goenv.Get(""TINYGOROOT""))
 	return &compileopts.Config{","At this point, maybe it would make more sense to write this as a range rather than listing specific versions?",,,
8887,"@@ -42,10 +42,14 @@
 #include ""res/windowsicon.xpm""
 #include ""res/macosicon.xpm""
 #include ""res/linuxicon.xpm""
+#include ""res/androidicon.xpm""
 #include ""res/freebsdicon.xpm""
+#include ""res/linuxarmicon2.xpm""
 #include ""res/atiicon.xpm""
+#include ""res/amdicon2.xpm""
 #include ""res/nvidiaicon.xpm""
-#include ""res/androidicon.xpm""
+#include ""res/nvidiaicon2.xpm""
+#include ""res/intelgpuicon2.xpm""
 #include ""res/virtualboxicon.xpm""
 #include ""res/blankicon.xpm""
 ","The _object_path method is not used anywhere else in the code. It seems like it could be removed.

The _object_",,,
5294,"@@ -21,6 +21,7 @@ class PerformanceTestSamplesAggregator
             $maxQueryCount = 0;
             $isSuccessful = true;
             $worstStatusCode = null;
+            $performanceTestSample = null;
 
             foreach ($performanceTestSamplesOfUrl as $performanceTestSample) {
                 /* @var $performanceTestSample \Tests\ShopBundle\Performance\Page\PerformanceTestSample */",I think we should have a test for this test.,,,
