id,inf,rand,rel,gold
3573,"`std::move` is not needed here.
","I don't think you need the `std::move` here, `cpp2::ExecResp&& resp` is enough.
","Shouldn't this be `future_dropSpace(cpp2::DropSpaceReq)`?
","`Status` has identical semantics with `StatusOr<bool>`.
"
4538,"I think this should be `[][]byte{}, nil`
","why is this being deleted?
","Why is this being deleted?
","Are you suggesting deleting the concept of message querying from plumbing (sounds like more trouble than its worth) or suggesting deleting the snapshot based implementation?
"
4760,"`metricNamespace` is unused (from `structcheck`)
","Would it make sense to move the `metricNamespace` into `newInitArgs`?
","`metricNamespace` is unused (from `structcheck`)
","How about making metricNamespace an option, and by default it's the same as `component`? e.g.m Init(component, WithMetricNamespace(""trigger""))
"
6810,"Space missing after comma.
","Line is too long. [81/80]
","Layout/SpaceAfterComma: Space missing after comma.
","I think there's an `approval_for`
"
7088,"Shouldn't this be `array $detailConfig`?
","Please add a `@since` tag.
","Shouldn't this be `TabDetailConfig`?
","If we decide to change the name of the .ini setting, we might also want to review the naming of this property and related code. Maybe a simple `getOptions` or `getSettings` would be more concise than `getTabDetailConfig`. At very least, I don't think we need Tab in the method name since the method belongs to a helper with ""Tabs"" in the name.
"
5385,"Shouldn't this be `Available: m.Available`?
","Shouldn't this be `Available: m.Available`?
","Shouldn't this be `Available: m.Available`?
","initialization of available ram is here
"
6446,"Should this be `tm_cpp` instead of `cpp`?
","Shouldn't this be `tm_cpp`?
","Should this be `tm_cpp_cpp`?
","Leave as `cpp` since that still gives better results.
"
651,"`depositToRewardingFundGasPerByte` is unused (from `deadcode`)
","Shouldn't this be 1000?
","Shouldn't this be `depositToRewardingFundGasPerByte`?
","`DepositToRewardingFundBaseGas` is a global variable (from `gochecknoglobals`)
"
4050,"`listens_matched_p` should be `listens_matched_per_sec`
","Wouldn't `listens_matched_pct` be a better name?
","`listens_matched_p` -> `listens_matched_pct`
","Calculation looks good but don't know what format etc grafana expects this to be in.
"
1,"Shouldn't this be `language=java,transport=grpc`?
","Shouldn't this be `language=java,transport=grpc,transport=zip`?
","Shouldn't this be `language=java,transport=grpc`?
","can we also test for `transport=rest`?
"
5056,"`done` is not used in this test.
","@jridgewell FYI, this is a flaky test.
","Why are we skipping these tests?
","is this one all platforms?
"
1293,"This should be `rescue NoMethodError`
","why do we need to do this?
","Why do we need to rescue SecurityError here?
","Isn't `nil` the default return value from an empty `rescue` clause? If that's correct, then we could just remove the `nil` line entirely as it doesn't serve a purpose.
"
9427,"Would it make sense to call this `FlushAsync` instead of `ForceFlush`?
","I don't think this should be public.
","I don't think we should be exposing this publicly. I think we should add a `FlushAsync` method to the `AgentAgent` interface.
","Should this be `ForceFlushAsync`? Given we have the `async` suffix elsewhere.
"
9569,"Why did you remove the `mov` here?
","Why is this no longer needed?
","Why is this test being removed?
","In this test, we want xax to be dead, so that aflags are not spilled to a slot.
"
2948,"`perms.Publish = &SubjectPermission{Deny: remote.DenyExports}` ?
","I'm not sure about this one. I think it should be `Publish` and not `Subscribe`.
","Why do we need to change this? Isn't `perms.Subscribe` the same as `perms.Publish`?
","Originally the DenyExport was a subscribe permission because it meant that if on this LN connection, if we deny export of ""foo"" it means that it would reject a subscription (hence subscribe permission) on ""foo"" from the other side. Now you are changing to simply not allowing this server to publish on ""foo"". I am not saying this is wrong, but we completely flip the meaning.
"
4883,"`wallet->receive_async(block, representative, node.network_params.ledger.genesis_amount, [response_a](std::shared_ptr<nano::block> block_a)`
","`wallet->receive_async(std::shared_ptr<nano::block> block_a, std::shared_ptr<nano::account> representative, ...)`
","`wallet->store.representative(node.wallets.tx_begin_read())` -> `wallet->store.representative(node.wallets.tx_begin_read())`
","json_handler::receive () has already started a read tx that can be used here right?
"
2074,"`suspense.test.js` should be `**.test.js`
","This should be `**` not `suspense`
","`suspense.test.js` should be `**.test.js`
","If you only want to run a specific group of tests you can always use `.only` like `it.only()` or `describe.only()`. It may not speed up the globbing process as much as this change here :)
"
9093,"Nit: unnecessary whitespace change.
","Please revert this change.
","Unnecessary whitespace change.
","nit: Looks like the whitespace got thrown off, can you fix this?
"
3741,"I don't think this import is needed.
","Is this import needed?
","This import should be removed.
","Again, you don't want to depend on glassfish.
"
1804,"`QWebEngineProfile` is not used in this file.
","Why is this needed?
","Why do we need this import?
","You can't rely on QtWebEngine being available - but why do you need to import this here at all?
"
1561,"Do we need to wait for all sections to load? Can't we just call `autoFocus(page)` directly?
","Do we have a tracking issue for this?
","Why do we need to wait for all sections to load?
","do you have any idea on how to fix it?
"
572,"nit: `MethodConfig` is unused.
","nit: unused import
","I don't think this import is used.
","Nit: each field can be on a separate line to make it visually easier to read.
"
1194,"Unnecessary spacing detected.<br>Operator `unless` should be surrounded with a single space.
","Align the operands of an expression in an assignment spanning multiple lines.
","Prefer single-quoted strings when you don't need string interpolation or special symbols.
","What was the point of creating `user_block` if you're then not going to use it ;-)
"
9475,"`options && options.beforeHandshake === true` is equivalent to `options && options.beforeHandshake`
","Why do we need the `!!` here?
","Why not just `options && options.beforeHandshake === true`?
","Just to confirm, do we actually want to explicitly set the `kBeforeHandshake` symbol on all network errors regardless of whether the options/property is passed in?
"
4064,"`javax.ws.rs.core.MediaType` is unused
","Wrong import order
","Unused import ?
","why RpcSchema need this annotations?
"
3244,"Should this be `message.StartsWith(""0x"")`?
","Wouldn't it be better to use `String.IsNullOrEmpty`?
","I don't think this is the right place to check this. If the message starts with `0x`, it should be a valid hex string, not an exception.
","Don't throw base exception, specify more precise type
"
6777,"`luaA_sys_get_meminfo(lua_State *L, glibtop_mem *mem)`
","Please add a license header to this file.
","`lua_pushinteger(L, glibtop_get_mem(&mem));`
","Is that the memory usage of the system or the process / awesome?
"
7868,"This should be `IDictionary<HttpWebRequest, AsyncContinuation>`
","I think this should be a `ConcurrentDictionary` instead of a `Dictionary`
","This should be `IDictionary<HttpWebRequest, AsyncContinuation>`.
","isn't `HttpWebRequest` an expensive key value?
"
7598,"Why is `IStringValueRenderer` no longer needed?
","Why remove the `IStringValueRenderer` interface?
","Why do we need to remove `IStringValueRenderer`?
","this is this removed? I don't understand in the context of this PR
"
3392,"`Component` is not used in this file.
","Shouldn't this be `import { Component } from 'react';`?
","Shouldn't this be `import { Component } from 'react';`?
","TODO: remove this unused import
"
907,"Why did you remove the `hashivault` secret?
","Why are we removing this?
","Why are we removing hashivault here?
","? The package is named `hashivault`.
"
6868,"Shouldn't `ReviewBlockTree` depend on `InitializeBlockchain`?
","Shouldn't this be `typeof(InitializeBlockTree)`?
","Why do we need `ReviewBlockTree` here?
","We explicitly don't want to do that. This was a complaint from users before.
"
2360,"Shouldn't this be `zip2`?
","Why is this needed?
","Shouldn't this be `zip`?
","will this not make it possible to use a zip file, e.g. on other importers who do not have to support it ?
"
2097,"I think it would be better to return `SymbolReference.unsolved(typeRef)` here.
","I don't think this should be public.
","Why do we need this method? Can't we just call `solveMethodInType` directly?
","I would throw an exception if the type is not solved
"
241,"Why do we need the `typeof` check here?
","Why do we need the `typeof` check here? Shouldn't `smallImage` always be a string?
","Why do we need to check for `typeof smallImage === 'string'`?
","I'm not a huge fan of this overloading of the prop; accepting very different types of arguments for props like this can be confusing, and wasn't part of the IB. I understand wanting to import the SVG directly, but the IB suggests using `${global._googlesitekitLegacyData.admin.assetsRoot}${userInputSuccessImage}` as the `src`/`smallImage` value here. It'd be great to refactor this to accept components directly in the future, but let's do that all-at-once rather than this hybrid approach that makes the API less clear.
"
2635,"`.NET Prometheus Client library, and OTel Exporter`
","nit: `and OTel Exporter`
","nit: `.NET Prometheus Client library, and OTel Exporter`
","a official -> an official
"
9595,"Should this be `X-CSE-TARGET-MICROSERVICE`?
","Shouldn't this be `x-cse-target-microservice`?
","Shouldn't this be `x-cse-dest-microservice`?
","Is this header used by other outside service?
"
7570,"Shouldn't this be `/session/:sessionId/chromium/heap_snapshot`?
","Shouldn't this be `/session/:sessionId/chromium/snapshot`?
","Shouldn't this be `/session/:sessionId/chromium/heap_snapshot`?
","Instead of building in routing for a browser-specific command, could you refactor the HttpCommandExecutor to allow arbitrary commands to be registered?
"
9199,"Shouldn't this be `platform.SiteRunning`?
","Shouldn't this be `platform.SiteRunning`?
","Should this be `platform.SiteRunning`?
","I'd say the error should be an error, not instructions to the user. So error would be something like ""site should be running and is not""
"
2324,"Shouldn't this be `Class<?>[] initializedClasses = initializedClasses()`?
","The variable name `javaClasses` should be renamed to `initializedClasses`.
","Shouldn't this be `javaClasses().length`?
","Was this change triggered by baseline?
"
2322,"`DatasetUtil` is used only by `DataAccess` and `DataAccess.getStorageIO`
","why do we need these imports?
","why do we need these imports?
","Looks like glassfish went a bit nuts doing a refactor
"
3728,"This should be `main_world=QWebEngineScript.MainWorld`
","`self._inject_early_js(js_code, subframes=True, world=QWebEngineScript.MainWorld)`
","Why do we need to inject print.js here?
","No need for a separate variable here - just call `utils.read_file` directly below.
"
7891,"This should be `mock.DEFAULT_ISMASTER_36`.
","This should be `DEFAULT_ISMASTER_36`
","Shouldn't this be `DEFAULT_ISMASTER_36`?
","@durran Was this change intended to be included in this PR?
"
5802,"`SyncManager` -> `SyncState`
","I think this should be renamed to `SyncManagerTest`
","Shouldn't this be `SyncManagerTest`?
","Unrelated typo fix.
"
3171,"Shouldn't this be `args.ctu_phases`?
","Shouldn't this be `context.ctu_dir`?
","I think this should be `args.ctu_dir` rather than `args.output_path`.
","What is this and the next entry in config_handler used for?
"
7511,"Shouldn't this be `Observation`?
","Shouldn't this be `Observation`?
","Shouldn't this be `GrapheneMaterializationOrObservationEvent`?
","My preference here is to keep a stricter hierarchy. We should have a mixin or something that is an AssetEvent that Observation and Materialization can both inherit from. That way we can check the type in the frontend if we need to.
"
2396,"Shouldn't this be `require.Equal(ErrNumAccounts, m.SignVote(vote))`?
","Why did you remove this line?
","Why was this removed?
","line is 121 characters
"
8702,"`not_to have_content(just_finished_trail.name)` is equivalent to `have_no_content(incomplete_trail.name)`
","Rubocop got mad at this `not_to have_content`
","Prefer single-quoted strings when you don't need string interpolation or special symbols.
","I'm confused why the expectations here would have inverted? Seems unrelated to topic stuff. Can you clarify?
"
7864,"I don't think we should use `defers` to ensure things that started up are stopped before we exit.
","Do we have an issue for this?
","We should probably use defers to ensure things that started up successfully are stopped before we exit.
","I believe this `Stop` function _is_ called with deferred.
"
2747,"I think this should be `if remoteHost == """" {`
","Would it make sense to log the error here?
","Would it make sense to log the error here?
","To keep it simple, how would you feel about just using r.RemoteAddr? Since every request comes through here I want it to be as lean as possible. Frankly I'm OK with the port showing up in the log; maybe it'd even be useful to someone.
"
8249,"Why do we need to skip this test?
","Did you mean to remove this?
","Why are we skipping this test?
","also seems we should not skip this test
"
5898,"`filter_run_excluding windows: true if ENV['BOLT_WINDOWS']`
","I'm not sure if this is the right place to do this. I think it should be in `bolttest_spec.rb` instead of here.
","Style/IfUnlessModifier: Favor modifier unless usage when having a single-line body. Another good alternative is the usage of control flow &&/||.
","We generally do this via tags in the Rakefile, not separate environment variables.
"
