id,index,diff,claim_no,claim,type,review,system,Con (P),Comp (R),Rel (F),old_file,new_file
11992.0,8988.0,"@@ -3,9 +3,9 @@ import { h } from './h';
 
 /**
  * Clones the given VNode, optionally adding attributes/props and replacing its children.
- * @param {VNode} vnode                The virtual DOM element to clone
- * @param {Object} props        Attributes/props to add when cloning
- * @param {VNode} rest                Any additional arguments will be used as replacement children.
+ * @param {import('./vnode').VNode} vnode The virtual DOM element to clone
+ * @param {object} props Attributes/props to add when cloning
+ * @param {Array<import('./vnode').VNode>} [rest] Any additional arguments will be used as replacement children.
  */
 export function cloneElement(vnode, props) {
         return h(",1,"The type of the 'vnode' parameter in the 'cloneElement' function has been changed. Previously, it was of type 'VNode'. Now, it is imported from the './vnode' module and is of type 'VNode'.",claim,Shouldn't this be `Array<import('./vnode').VNode>`?,codereviewer_pred,,,,test8988_old.js,test8988_new.js
,,,2,The 'props' parameter in the 'cloneElement' function is now of type 'object'.,claim,"The function signature is incorrect. It should be `cloneElement(vnode: VNode, props: object,...rest: VNode[])`.

The `rest` parameter should be an array of `VNode`s, not a single `VNode`.
The `props` parameter should be an object, not a single `VNode`.
The `vnode` parameter should be a `VNode`, not a `string`.
The function should return a `VNode`, not a `string`.
The function should be named `cloneElement`, not `cloneElement_`.
The function should be exported, not declared.
The function should be documented, not commented.
The function should be tested, not commented.
The function should be formatted, not commented.
The function should be reviewed, not commented.",magicoder_pred,,,,,
,,,3,"The 'rest' parameter in the 'cloneElement' function has been changed. Previously, it was of type 'VNode'. Now, it is an array of 'VNode' imported from the './vnode' module. The 'rest' parameter is optional and its default value is an empty array.",claim,Would it be easier to kick this import to the top of the file? It'll get stripped out anyway.,msg,,,,,
,,,4,"line 10, col 1, 'export' is only available in ES6 (use 'esversion: 6').",issue,The function signature is not correct. It should be importing from './vnode' instead of './h'.,deepseekcoder_pred,,,,,
,,,5,,,You can use the spread operator to merge the original vnode's attributes with the new props.,stable_code_pred,,,,,
12790.0,3422.0,"@@ -87,8 +87,11 @@ export function useReducer(reducer, initialState, init) {
 			init == null ? invokeOrReturn(null, initialState) : init(initialState),
 
 			action => {
-				hookState._value[0] = reducer(hookState._value[0], action);
-				hookState._component.setState({});
+				const nextValue = reducer(hookState._value[0], action);
+				if (!Object.is(hookState._value[0], nextValue)) {
+					hookState._value[0] = nextValue;
+					hookState._component.setState({});
+				}
 			}
 		];
 	}",1,The code has been refactored to not only calculate the next value for the state but also to check if the next value is different from the current value.,claim,"This is a common pattern in React hooks, but it's not necessarily a bad thing. It's just a bit more verbose than necessary. You could potentially use a useCallback to memoize the reducer and avoid unnecessary re-renders.

Also, the use of Object.is() is a good practice to avoid issues with NaN and -0.
Here's a more concise version of the code:
```javascript
const useReducer = (reducer, initialState, init) => {
  const [hookState, setState] = useState({
    _value: init == null? invokeOrReturn(null, initialState) : init(initialState),
    _component: null,
  });
  const dispatch = useCallback(
    action => {
      const nextValue = reducer(hookState._value, action);
      if (!Object.is(hookState._value, nextValue)) {
        hookState._value = next",magicoder_pred,,,,test3422_old.js,test3422_new.js
,,,2,A new constant `nextValue` has been introduced to hold the value calculated by the reducer.,claim,Why do we need to check for `Object.is`?,codereviewer_pred,,,,,
,,,3,A conditional statement has been added to check if the `nextValue` is not equal to the current value of `hookState._value[0]`.,claim,`Object.is` is an ES6 feature of JS so I don't think we can use it here (or we have to change our browser support matrix or specify that an Object.is polyfill is pre-req of `preact/hooks`). Should we just do an `===` check in `preact/hooks` and provide a `Object.is` polyfill and version of `useReducer` in `preact/compat`?,msg,,,,,
,,,4,"If the `nextValue` is different from the current value, the `hookState._value[0]` is updated with the `nextValue` and the state of the component is set to an empty object.",claim,"You can remove these checks now given we have an explicit check earlier in the useEffect hook

```javascript
export function useEffect(effect, dependencies) {
	const dispatch = useReducer(x => x + 1, 0);
	useEffect(() => {
		if (effect) {
			effect();
		}
		return () => {
			dispatch();
		};
	}, dependencies);
}
```
This will ensure that the effect is only run if the dependencies have changed, and that the dispatch is only run when the component unmounts.",stable_code_pred,,,,,
,,,5,"line 89, col 20, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",issue,This code is checking if the next state is the same as the current state before setting the state. This is a common optimization to prevent unnecessary renders.,deepseekcoder_pred,,,,,
,,,6,"line 90, col 17, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,,,,,,,
16303.0,4298.0,"@@ -27,7 +27,12 @@ function collectResultsFromFrames(
   frames.forEach(frame => {
     const tabindex = parseInt(frame.node.getAttribute('tabindex'), 10);
     const focusable = isNaN(tabindex) || tabindex >= 0;
+
     const rect = frame.node.getBoundingClientRect();
+    let width = parseInt(frame.node.getAttribute('width'), 10);
+    let height = parseInt(frame.node.getAttribute('height'), 10);
+    width = isNaN(width) ? rect.width : width;
+    height = isNaN(height) ? rect.height : height;
 
     var params = {
       options: options,",1,Four lines of code have been added to the function collectResultsFromFrames.,claim,"This code seems to be fine, but it's good to note that the width and height are retrieved from the bounding client rect, so if the width and height attributes are not set, they will be 0. If you want to ensure that they are set, you could add checks for that.",deepseekcoder_pred,,,,test4298_old.js,test4298_new.js
,,,2,The added code is used to get the width and height of the frame from the frame's attributes.,claim,"This code is not checking if the width and height attributes are valid numbers. It should be checking if they are valid numbers and if not, using the bounding client rect.",magicoder_pred,,,,,
,,,3,"If the width or height is not a number (NaN), it is replaced with the width or height from the bounding client rectangle.",claim,You can use the width and height attributes directly rather than calculating them again.,stable_code_pred,,,,,
,,,4,The added code ensures that the width and height of the frame are always valid numbers.,claim,This prevents margin/border/padding CSS from affecting the width/height (otherwise in Chrome a width and height of 1 would result in a rect size of 5x5).,msg,,,,,
,,,5,This could prevent potential errors or unexpected behavior in the subsequent code that rely on the width and height of the frame.,claim,Why do we need to convert `width` and `height`?,codereviewer_pred,,,,,
,,,6,"line 27, col 24, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",issue,,,,,,,
,,,7,"line 28, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,,,,,,,
,,,8,"line 29, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,,,,,,,
,,,9,"line 31, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,,,,,,,
,,,10,"line 32, col 5, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,,,,,,,
,,,11,"line 33, col 5, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,,,,,,,
12633.0,2886.0,"@@ -31,6 +31,10 @@ msg.Number = {};
 msg.Number.min = ""Path `{PATH}` ({VALUE}) is less than minimum allowed value ({MIN})."";
 msg.Number.max = ""Path `{PATH}` ({VALUE}) is more than maximum allowed value ({MAX})."";
 
+msg.Date = {};
+msg.Date.min = ""Path `{PATH}` ({VALUE}) is before than minimum allowed value ({MIN})."";
+msg.Date.max = ""Path `{PATH}` ({VALUE}) is after than maximum allowed value ({MAX})."";
+
 msg.String = {};
 msg.String.enum = ""`{VALUE}` is not a valid enum value for path `{PATH}`."";
 msg.String.match = ""Path `{PATH}` is invalid ({VALUE})."";",1,"A new property has been added to the 'msg' object, which itself is an object. To this new object, two properties have been added which are strings.",claim,You can add these checks in the Date validator as well.,stable_code_pred,,,,test2886_old.js,test2886_new.js
,,,2,"The first added property is 'Date', which is an object.",claim,"This should be `msg.Date.enum = ""`{VALUE}` is not a valid date value for path `{PATH}`."";`",codereviewer_pred,,,,,
,,,3,"Two new properties have been added to the 'Date' object. The first is 'min', which is a string. The second is 'max', also a string.",claim,This is a good addition to the messages for Date and Time validation.,magicoder_pred,,,,,
,,,4,"The 'min' property contains a message template that displays the path of the invalid value, the value itself, and the minimum allowed value.",claim,Minor grammar detail: the 'than' is unnecessary,msg,,,,,
,,,5,"The 'max' property contains a message template that displays the path of the invalid value, the value itself, and the maximum allowed value.",claim,This is a good addition to the code as it provides more specific error messages for date validation.,deepseekcoder_pred,,,,,
15124.0,721.0,"@@ -1,4 +1,6 @@
-var nn = node.nodeName.toLowerCase();
-return (
-	node.hasAttribute('alt') && (nn === 'img' || nn === 'input' || nn === 'area')
-);
+const { nodeName } = virtualNode.props;
+if (['img', 'input', 'area'].includes(nodeName) === false) {
+	return false;
+}
+
+return typeof virtualNode.attr('alt') === 'string';",1,The code has been refactored to use destructuring to get the 'nodeName' property from the 'virtualNode.props' object.,claim,"This code is already quite clean and readable. However, it can be simplified by removing the unnecessary `toLowerCase()` call. The `includes()` method is also more readable than `=== 'img' || === 'input' || === 'area'`.",deepseekcoder_pred,,,,test721_old.js,test721_new.js
,,,2,"A new conditional statement has been added to check if the 'nodeName' is not included in the array ['img', 'input', 'area']. If it's not, the function returns false.",claim,"VirtualNode has a `hasAttr` function, any reason why you're not using it?",msg,,,,,
,,,3,The return statement has been updated to check the type of 'alt' attribute of the 'virtualNode' instead of the 'node' object.,claim,"This code is checking if an image, input or area element has an alt attribute. It's a good practice to check if the attribute exists before trying to access it.

The code can be improved by adding a check to see if the node is an element before trying to access its properties. This will prevent a runtime error if the node is not an element.
Here's the improved code:
```javascript
const { nodeName } = virtualNode.props;
if (['img', 'input', 'area'].includes(nodeName) === false) {
	return false;
}
if (typeof virtualNode.attr('alt')!=='string') {
return true;
```
This code will return false if the node is not an image, input or area, or if the alt attribute does not exist or is not a string. If the node is an image, input or area and the alt attribute exists and is a string, the function will return true.",magicoder_pred,,,,,
,,,4,The refactoring to use destructuring makes the code cleaner and easier to read.,claim,Can we use `nodeName.toLowerCase()` here?,codereviewer_pred,,,,,
,,,5,"line 1, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,You can simplify this to just checking the nodeName and then checking the attribute.,stable_code_pred,,,,,
,,,6,"line 1, col 1, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,,,,,,,
8188.0,2290.0,"@@ -113,7 +113,9 @@ class CapacitorSplashScreen {
     `;
 
     this.mainWindowRef.on('closed', () => {
-      this.splashWindow.close();
+      if (this.splashWindow && !this.splashWindow.isDestroyed) { 
+        this.splashWindow.close(); 
+      }
     });
 
     this.splashWindow.loadURL(`data:text/html;charset=UTF-8,${splashHtml}`, {baseURLForDataURL: `file://${rootPath}/splash_assets/`});",1,The code change involves adding a conditional statement to check if the 'splashWindow' exists and has not been destroyed before attempting to close it.,claim,You can remove this check now given we have an explicit check earlier in the close method.,stable_code_pred,,,,test2290_old.js,test2290_new.js
,,,2,The condition `if (this.splashWindow && !this.splashWindow.isDestroyed)` ensures that the 'close' method is not called on a possibly non-existent or already destroyed 'splashWindow' object.,claim,You should add a check to ensure splashWindow is not undefined before trying to close it.,deepseekcoder_pred,,,,,
,,,3,This change adds a layer of safety and prevents potential errors or unexpected behavior by checking if the 'splashWindow' object exists before attempting to close it.,claim,"`isDestroyed` is a function, not a property. This condition will always return false.",msg,,,,,
,,,4,"line 115, col 38, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",issue,"You can remove the check for `this.splashWindow.isDestroyed` as it's not a property of the `BrowserWindow` class.

The `BrowserWindow` class does not have an `isDestroyed` property, but it does have a `isDestroyed()` method. So, you should use `this.splashWindow.isDestroyed()` instead.",magicoder_pred,,,,,
,,,5,"line 121, col 31, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",issue,`this.splashWindow && this.splashWindow.isDestroyed`,codereviewer_pred,,,,,
,,,6,"line 121, col 97, 'template literal syntax' is only available in ES6 (use 'esversion: 6').",issue,,,,,,,
10735.0,6199.0,"@@ -5,8 +5,7 @@ import { enqueueRender } from '../render-queue';
 import { getNodeProps } from './index';
 import { diff, mounts, diffLevel, flushMounts, recollectNodeTree, removeChildren } from './diff';
 import { createComponent, collectComponent } from './component-recycler';
-
-
+import remove from './remove';
 
 /** Set a component's `props` (generally derived from JSX attributes).
  *	@param {Object} props",1,An import statement has been added to the code. The function 'remove' is imported from the file './remove'.,claim,The removal of the comment line is unnecessary and can be removed.,magicoder_pred,,,,test6199_old.js,test6199_new.js
,,,2,The function 'remove' can now be used in the code without needing to reference its full path every time. This could make the code cleaner and easier to read.,claim,This seems to be a cleanup code change. It looks like the author is removing an unused import.,deepseekcoder_pred,,,,,
,,,3,"line 5, col 1, 'import' is only available in ES6 (use 'esversion: 6').",issue,Thinking this should be `removeNode()` exported from `dom/index.js`. Thoughts?,msg,,,,,
,,,4,"line 6, col 1, 'import' is only available in ES6 (use 'esversion: 6').",issue,Why is this change needed?,codereviewer_pred,,,,,
,,,5,"line 7, col 1, 'import' is only available in ES6 (use 'esversion: 6').",issue,You can remove this now given we have an explicit check earlier in `layoutCallback`,stable_code_pred,,,,,
,,,6,"line 8, col 1, 'import' is only available in ES6 (use 'esversion: 6').",issue,,,,,,,
11085.0,9725.0,"@@ -26,6 +26,18 @@ describe ""Selenium::WebDriver::TargetLocator"" do
     end
   end
 
+  it ""should switch to parent frame"" do
+    driver.navigate.to url_for(""iframes.html"")
+
+    iframe = driver.find_element(:tag_name => ""iframe"")
+    driver.switch_to.frame(iframe)
+
+    driver.find_element(:name, 'login').should be_kind_of(WebDriver::Element)
+
+    driver.switch_to.parent_frame
+    driver.find_element(:id, 'iframe_page_heading').should be_kind_of(WebDriver::Element)
+  end
+
   # switching by name not yet supported by safari
   not_compliant_on :browser => [:ie, :iphone, :safari] do
     it ""should switch to a window and back when given a block"" do",1,,,"This is a good test case to add, it's a good example of how to switch between frames and windows.

The test case is not compliant with Safari and iPhone, so it should be removed or updated to be compliant with these browsers.",magicoder_pred,,,,test9725_old.js,test9725_new.js
,,,2,,,This test is not necessary given the new functionality of switch_to.parent_frame which allows us to switch back to the parent frame after switching to a child frame.,stable_code_pred,,,,,
,,,3,,,I tested it only in Firefox (`./go //rb:firefox-test`),msg,,,,,
,,,4,,,Use the new Ruby 1.9 hash syntax.,codereviewer_pred,,,,,
,,,5,,,"This test is good, but it's not checking for the correct exception when trying to switch to a frame that doesn't exist. It would be good to add a check for that.",deepseekcoder_pred,,,,,
18051.0,8007.0,"@@ -36,6 +36,11 @@ function writeCommand(server, type, opsField, ns, ops, options, callback) {
     writeCommand.bypassDocumentValidation = options.bypassDocumentValidation;
   }
 
+  if (writeConcern.w === 0) {
+    // don't include session for unacknowledged writes
+    delete options.session;
+  }
+
   const commandOptions = Object.assign(
     {
       checkKeys: type === 'insert',",1,A new condition has been added to the writeCommand function.,claim,"This seems like a bug, you should always pass the session when writing to the database.",stable_code_pred,,,,test8007_old.js,test8007_new.js
,,,2,This condition checks if the write concern (w) of the server is 0.,claim,"This is a bit of a guess, but it seems like the intention is to not include the session if the write concern is unacknowledged. If that's the case, you could remove the check for w === 0 and just always delete the session.",magicoder_pred,,,,,
,,,3,"If the write concern is 0, the session option is removed from the options object.",claim,"This code seems to be checking if the write concern's w value is 0 and if so, it removes the session from the options. This is a good practice to follow as it helps in reducing unnecessary network traffic.",deepseekcoder_pred,,,,,
,,,4,"The session option is typically used to maintain state across multiple operations. By removing it when the write concern is 0, this could potentially affect the state of the application.",claim,Should this be `writeConcern.w === 1`?,codereviewer_pred,,,,,
,,,5,"line 44, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,"From the ticket: > I understand why a session ID would be silently omitted for implicit sessions, but what is the reasoning behind omitting it for explicit sessions instead of raising a logic error to the user? So what this change is doing is ""silently omitting"" the session if its an unacknowledged write. I think we want to actually return an error in this case.",msg,,,,,
15319.0,3406.0,"@@ -25,7 +25,11 @@ const isPromiseLike = require('../utils').isPromiseLike;
 function addToOperationsList(bulkOperation, docType, document) {
   // Get the bsonSize
   const bsonSize = bson.calculateObjectSize(document, {
-    checkKeys: false
+    checkKeys: false,
+
+    // Since we don't know what the user selected for BSON options here,
+    // err on the safe side, and check the size with ignoreUndefined: false.
+    ignoreUndefined: false
   });
 
   // Throw error if the doc is bigger than the max BSON size",1,The code change is in the function addToOperationsList where the BSON options are being set.,claim,You can use the more generic method `bson.calculateSize()` which will handle the size calculation for you.,stable_code_pred,,,,test3406_old.js,test3406_new.js
,,,2,A new option 'ignoreUndefined: false' has been added. This is likely to change the behavior of the BSON size calculation.,claim,"This code seems to be checking the size of a document in BSON format. The check is done with `ignoreUndefined: false` which means it will throw an error if the document contains an undefined value. If you want to allow undefined values, you should set `ignoreUndefined: true`.",deepseekcoder_pred,,,,,
,,,3,"line 27, col 3, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",issue,"I think the more complete solution will save off a `ignoreUndefined` in the base class for the bulk operation (with a default of `false`), and use that for calculations. Was there a reason you didn't want to support the option from the operation level?",msg,,,,,
,,,4,,,Why do we need to ignoreUndefined here?,codereviewer_pred,,,,,
